,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,"[0.14962692446620432, 0.1499473710654349, 0.14624166120639004, 0.15230300283800882, 0.14699536931012777]","[0.029831378517395507, 0.014953714558266497, 0.015385390042423393, 0.014887777861957063, 0.020717205025486553]","[0.14765701113422197, 0.14825526870183436, 0.14480370645035967, 0.151463561869104, 0.1443774795525391]","[0.011773271880258408, 0.008530913785257917, 0.00871294075925868, 0.011812313878468076, 0.00697266193916352]","[0.0022481095442468835, 0.0020483808037456107, 0.0010541374896468638, 0.0010271083232456623, 0.0023356982277889693]","[0.1218318086482483, 0.017794266666028256, 0.017046281015546665, 0.01613220159931557, 0.04319194183882153]","[0.00013876581905751764, 0.00014157936187452616, 0.00017760586409751707, 0.0002240629912931105, 0.00012227671851843772]","[0, 0, 0, 0, 0]","[0.00011201250459034227, 0.0002500255621404652, 0.00023356940223523022, 0.00026583216060115154, 7.37473179551471e-05]","[0.01300295296967619, 0.009383787072257241, 0.008966398953711565, 0.012024549059621368, 0.00822708381544911]","[0.14933874316206444, 0.1497454167774495, 0.14618356433681376, 0.15206969207594415, 0.14686630795697853]","[0.02809322602313057, 0.015314857351352542, 0.015758894382686257, 0.015102451387431244, 0.01999885713099298]","[0.002036187900643507, 0.003160086666912955, 0.002435988225586458, 0.0027419484881816007, 0.0020264224432675767]","[0.012402192661551504, 0.0073631788723585185, 0.0086349745382958, 0.01178271191905494, 0.006896718729494674]",[],[],"[0.003215593684671452, 0.003511675491508192, 0.0013068366619934525, 0.00327967005125373, 0.0019028738952533168]","[0.028290804654629197, 0.013880425897504175, 0.013677489769813516, 0.015055377687696, 0.021645126123065173]","[[0.6277096487247369, 0.6487842515433986, 0.5087122705626165, 0.6427181295785186, 0.6309346049654443, 0.6485723630443077, 0.6276628871249375, 0.628973673219313], [0.636484488631378, 0.6510652017262331, 0.5093755567314314, 0.6426520757606781, 0.6388164454808698, 0.6479936396342258, 0.6346276979038978, 0.6389111064430611], [0.6521780075564734, 0.6660550071711803, 0.5109671501369483, 0.6571642482405218, 0.6521339433538554, 0.664108793441527, 0.6455384188796837, 0.6489828154983474], [0.6499898974171237, 0.6585786551170885, 0.5109393006617191, 0.6472771716517358, 0.6535440277331522, 0.6575656628830584, 0.6499333958582535, 0.6490401765139944], [0.6415366120705293, 0.6658615646306534, 0.5055504926469551, 0.6570912974575268, 0.6415689265825149, 0.6647530954043877, 0.6395373213604898, 0.6370917373693705]]","[0.0020591705873384708, 0.0032951495470290005, 0.0026581987239628485, 0.002840974113639281, 0.001827676423070419]","[0.027093910652962756, 0.014612713669069974, 0.014756969662310193, 0.015063966993614683, 0.02005984829432613]"
1,"[0.1989110997796164, 0.19632041134101638, 0.17397097049857088, 0.1763787274104235, 0.1702412528338131]","[0.06489847368483503, 0.06370748385451387, 0.047341889652229276, 0.012708464040519155, 0.03612282808982244]","[0.1930811529119033, 0.1884268404611737, 0.1696919274932998, 0.1763787274104235, 0.16633944576926243]","[0.029400329486813006, 0.03058306531509626, 0.019248152332484277, 0.012708464040519155, 0.01966331510178322]","[0.056916983955610574, 0.056983187670320005, 0.03811514871866184, 0.031166399143927232, 0.04438021274318025]","[0.1333265810406373, 0.1404387211069919, 0.12004277265815462, 0.02024660266829098, 0.10930831695828196]","[0.0384211945937197, 0.036295449319990854, 0.018697121432762358, 0.014121407044122646, 0.014467387981061381]","[0, 0, 0, 0, 0]","[0.03682613575261357, 0.03203463099781629, 0.01740870534876306, 0.014121407044122646, 0.012991170904994265]","[0.034887043133997854, 0.036267265955449234, 0.020710452700191753, 0.011173354733478894, 0.02172345437618004]","[0.16547223258592705, 0.15956448680408666, 0.15787270478217486, 0.16462136750089984, 0.16018206327570264]","[0.03841217218907908, 0.051319527406797856, 0.055036125448984466, 0.01735444882597085, 0.04021291479868335]","[0.001909669139115656, 0.0017056601614604406, 0.0017729523413650668, 0.0027526726313323656, 0.003469666871721312]","[0.030491140897346933, 0.029974183609511363, 0.03439956997895442, 0.01591667062741145, 0.03504545502825884]",[],[],"[0.0015372299937138696, 0.0015427031582640255, 0.0017151802868293773, 0.0027526726313323656, 0.0035422653211351156]","[0.029466059205546728, 0.032049168118387934, 0.03419284066539556, 0.01591667062741145, 0.03532750676304428]","[[0.6048974273680765, 0.6055935375469077, 0.5136643505504584, 0.5691742220304524, 0.6142587808188168, 0.6060478689995038, 0.6110119050782036, 0.6144709350088157], [0.5989394515514028, 0.6024194384690451, 0.516372623837013, 0.5602453207969602, 0.5838523288989813, 0.6020655234671439, 0.6043710231095063, 0.5837859864549736], [0.6263856713960453, 0.6282240084345332, 0.529121467273463, 0.5773348250678025, 0.6107955415624844, 0.6275673443418609, 0.6302854876698152, 0.6085277128905526], [0.6271277263304034, 0.6271277263304034, 0.5328395131804858, 0.5710787006828617, 0.6228493605950317, 0.6271524620358996, 0.6271524620358996, 0.6220205842729863], [0.61035867479001, 0.6262852486153639, 0.5254163141035738, 0.5729100928811401, 0.6027824152572289, 0.6243500438282541, 0.6117669357913361, 0.6031586485039196]]","[0.0016817178720659324, 0.0016549748787313126, 0.002282003410916442, 0.0018649405875225532, 0.0020882782687716215]","[0.03315086077816728, 0.03899992787165085, 0.05721431364164505, 0.016865660770106684, 0.04316611878732817]"
2,"[0.13586114467808394, 0.13472062758962877, 0.13427633039171863, 0.1374480826049247, 0.13338222039241027]","[0.04121937455743911, 0.01475472677116929, 0.018888889197686352, 0.021712114426011658, 0.030890527992825996]","[0.147756997944168, 0.14944202168466594, 0.14698711746850887, 0.15253532632107697, 0.1447430876306209]","[0.01232750864158746, 0.008470609530338723, 0.008614751447690649, 0.011644175908214488, 0.008659874406578597]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.12168853387642782, 0.01759931568826817, 0.027152708510386855, 0.03260271572690387, 0.06119994958795518]","[0.0032332835243401347, 0.0038027615003925087, 0.004269365251253447, 0.006707871164503876, 0.0035939356563753273]","[0, 0, 0, 0, 0]","[0.0035526373166867935, 0.004922482784836441, 0.0057174798609685275, 0.007712706886762411, 0.0030320540907501146]","[0.014061109111772323, 0.00964949107062726, 0.01046490653608791, 0.012613820373632107, 0.009620400519832744]","[0.14757203941435051, 0.1478118334400119, 0.14473525351922945, 0.15040159183665272, 0.14473418521285136]","[0.027882527533066786, 0.01538035367975589, 0.019431982484575613, 0.018682346997635504, 0.022188811562817563]","[0.0022132553897850145, 0.0035793423053806753, 0.0023338865680233856, 0.0029417424933493113, 0.004111011683130256]","[0.003526026324844134, 0.0021761110843892357, 0.0029076559298906695, 0.0020043881070627993, 0.010260638258499396]",[],[],"[0.0014540130116234508, 0.001931744155827502, 0.0017624087679666781, 0.003899359308439411, 0.0019508378335915469]","[0.021572074032582583, 0.01075519196855045, 0.01396044633076208, 0.012393468968943654, 0.016675215617283367]","[[0.6719760123620666, 0.6845457163717675, 0.5, 0.6713827245646123, 0.6521080448018637, 0.6831030147415944, 0.6750246826853487, 0.6510168522429095], [0.6798061045684549, 0.6989277518819184, 0.5, 0.671842751124099, 0.6599295626716728, 0.6971890214555984, 0.6805369350588574, 0.6604685451726898], [0.6943604806437242, 0.7057899018819176, 0.5, 0.6858626723004362, 0.6737683921026201, 0.7022142530499683, 0.6952510342996828, 0.6713147683324547], [0.7073392400462218, 0.717519414925056, 0.5, 0.6931853391733899, 0.6737697631777517, 0.71490055465263, 0.6952880043284881, 0.6710386809151274], [0.6882881074992477, 0.6953818217564105, 0.5, 0.6666262508974744, 0.6660024993509943, 0.6940247480282719, 0.6863910555603228, 0.6656428306860778]]","[0.0034074456497808765, 0.005471042916476494, 0.0025618010725059325, 0.002308081010012941, 0.003964245783895836]","[0.021823138350895537, 0.014752812219609435, 0.017539927741522073, 0.01762553837104577, 0.02104028664269853]"
3,"[0.14864344725954798, 0.14825864764691832, 0.14448992236415123, 0.15221567170875067, 0.14824876268050607]","[0.014683023839903414, 0.0061809833272775845, 0.006924061217851644, 0.006882110790452821, 0.014152778563524466]","[0.14864344725954798, 0.14825864764691832, 0.14448992236415123, 0.15221567170875067, 0.14772116439005586]","[0.014683023839903414, 0.0061809833272775845, 0.006924061217851644, 0.006882110790452821, 0.010641443174194716]","[0.026310313434776952, 0.026432158735583165, 0.014032325185145968, 0.018636225293217294, 0.02158683128596638]","[0.0658954071534788, 0.010288591553881211, 0.007099117736920519, 0.006312967265160933, 0.05520237304721265]","[0.004802727952585445, 0.004900966117909734, 0.0032205963062981154, 0.002785101995899958, 0.0037818138445088276]","[0, 0, 0, 0, 0]","[0.004802727952585445, 0.004900966117909734, 0.0032205963062981154, 0.002785101995899958, 0.0035181978442505356]","[0.015557354651601915, 0.0072090731458432315, 0.00760970459632817, 0.007326134855150698, 0.01168955135627706]","[0.14536968827709407, 0.14622033522094288, 0.14448895309390314, 0.15333651057273406, 0.1440739604638009]","[0.013471832446639962, 0.005838683104776068, 0.00740569250867599, 0.005972873566133126, 0.012575019935966764]","[0.0031085663329984826, 0.0035855082053174855, 0.0022712467938530373, 0.001891400587378416, 0.004014114251420042]","[0.016741634882782866, 0.0071351597410913275, 0.007441260014687473, 0.009215810736566445, 0.020919893792566865]",[],[],"[0.003220580027872938, 0.0033192030865434627, 0.001987069628077997, 0.0030310295867848726, 0.0031822744266255644]","[0.017463267998397813, 0.006610548313621845, 0.00833787615822148, 0.007695703793297687, 0.020496187054220766]","[[0.6942426374392499, 0.6942426374392499, 0.5754224751127326, 0.6577016354869529, 0.6856039632581358, 0.6924803096468118, 0.674125186116481, 0.6849793239335433], [0.694012561190601, 0.694012561190601, 0.5706860792546247, 0.6652438716333536, 0.6785575637033707, 0.6900620614285827, 0.6773070285764425, 0.6766421416776794], [0.6907675016833064, 0.6907675016833064, 0.5873502959018679, 0.6587815925555142, 0.6793744871491053, 0.6886991710018857, 0.6670261660758302, 0.6770534590130372], [0.6753278522481632, 0.6753278522481632, 0.5881049377154935, 0.6595269439530573, 0.6767463798644067, 0.6713103831118142, 0.6746917540531407, 0.6761701681142696], [0.676834649629225, 0.6795979477297833, 0.5765289108977569, 0.6506717073684691, 0.6891358882254608, 0.6765172070703065, 0.6880500934676893, 0.6874814666769494]]","[0.002238918460235294, 0.0018343342693829773, 0.0027321927208565104, 0.0026108274810173497, 0.0029209273986227384]","[0.014635583648042062, 0.006656375589470058, 0.007815162399050333, 0.007734438185872134, 0.020275465342789047]"
