,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,"[0.14937528680575812, 0.1458468034545298, 0.14640698665541052, 0.14974653352470535, 0.14865608392159868]","[0.02422766402301064, 0.0851671924480378, 0.055006674213805666, 0.09677940850907936, 0.08688141118235164]","[0.14605743193965318, 0.14104643757379065, 0.14169470850790844, 0.14261755707589538, 0.1413717695134699]","[0.008486094165724132, 0.02666619091723741, 0.014787642289515639, 0.0320219966607058, 0.03177023838188433]","[0.035305484795794394, 0.02932846660131927, 0.03219279292446355, 0.03332019913662081, 0.03371494001123209]","[0.03161357430600159, 0.29021601121046364, 0.16079766816812818, 0.2992467400505709, 0.30238495749290795]","[0.0007283163976703649, 0.00034614187407638246, 0.0007670374468713351, 0.0003165226334402466, 0.00032281559074976687]","[0, 0, 0, 0, 0]","[0.0003663721516591737, 0.0003680406065055697, 0.0008550428903407769, 0.0002607948147203811, 0.0007327801592970099]","[0.010096943895420898, 0.029236844184705933, 0.014848149475088656, 0.03250732837516403, 0.028206088480816245]","[0.1474028457840048, 0.1446404280002433, 0.14543770480009477, 0.14872105460901736, 0.14758692428878223]","[0.023902015320510034, 0.08058242540685019, 0.052355134042307204, 0.09074820532291497, 0.08358983727650436]","[0.003347323076176265, 0.003635779714458312, 0.002242373500972911, 0.002636722224030221, 0.0025442313229025325]","[0.00841066733650636, 0.03468130186701054, 0.016923489067111663, 0.027853718889773792, 0.030738473862466014]",[],[],"[0.004908087612155317, 0.00431519542300598, 0.002931378801428189, 0.003163113400779777, 0.005035859342004586]","[0.022694413800830475, 0.08679154608013125, 0.05227944135366993, 0.07740573174074392, 0.07821703649044402]","[[0.7702907565437576, 0.7833154441991494, 0.6488542582560265, 0.7702741759741369, 0.7720251328924528, 0.7797849207521922, 0.7689927580298316, 0.770261090328505], [0.7668573561531706, 0.7890389961655191, 0.6680043070663532, 0.7747345534480947, 0.7689519609814881, 0.7884363875929343, 0.7615416384232694, 0.7672627368410597], [0.7750600218380824, 0.7977931696792695, 0.6571227010813798, 0.7835466164127661, 0.7763097916173336, 0.7954043827452838, 0.7746880508853632, 0.7746339490093929], [0.7654034642283256, 0.7941338653112341, 0.6544734096826187, 0.7784080855412622, 0.7670526610740366, 0.7920271119204059, 0.7643433479480211, 0.7662204653009408], [0.7728426951252786, 0.7969766746719383, 0.6642699115044247, 0.7811522668303756, 0.7742189229434688, 0.7942411916271551, 0.7717492902078281, 0.7702129086935705]]","[0.003550168973824717, 0.0029474607940818266, 0.0039057543407235574, 0.003765511407861128, 0.0037739707061122695]","[0.022121415045714302, 0.07996426712596674, 0.052574745153867515, 0.07348318746015993, 0.07322305343273011]"
1,"[0.19988908045875936, 0.19151471357937788, 0.1957126751124656, 0.200818461349516, 0.1898545032374351]","[0.3072406920925242, 0.29336486660353794, 0.27685279027201776, 0.2985312788296478, 0.3070106230091694]","[0.19396986082501616, 0.18316623271324514, 0.1885036689982116, 0.1892598334357514, 0.18716158912130298]","[0.155292929299118, 0.1491960168812914, 0.1580348866716193, 0.14716374507032845, 0.12939560644518153]","[0.03300334361907798, 0.027862095804966836, 0.03091283555034418, 0.030686955872346013, 0.031305154153207046]","[0.35480480868527503, 0.34767175256204225, 0.3392710046612339, 0.3524491046130276, 0.3585961803548637]","[0.027379748665549045, 0.02214024283318602, 0.026231103241964475, 0.025661749895192914, 0.024743975397176172]","[0, 0, 0, 0, 0]","[0.008589322802195248, 0.004574620910033819, 0.006072930932435095, 0.0064499397644403305, 0.006122212080324506]","[0.15320572233232962, 0.12638809943709192, 0.126465869390821, 0.1381502491967403, 0.12208030416961044]","[0.16819000702806328, 0.1554786963955683, 0.1594365217310974, 0.16244310406315843, 0.16014696898038336]","[0.19066711841096134, 0.16071164879347305, 0.1427342230289034, 0.17757622933153375, 0.17773826519264432]","[0.002920275015700694, 0.0020358116506250194, 0.0027606161792601415, 0.0027571196094119334, 0.004548359050844666]","[0.18182760518501728, 0.19965504407595072, 0.19230489846020324, 0.17339323993002315, 0.16192195094539674]",[],[],"[0.002165349100695862, 0.0017564451203785653, 0.001599843994424456, 0.001931214832987119, 0.0016259245602338439]","[0.1253155411323262, 0.115968703750573, 0.11924385486071108, 0.12166775948493419, 0.1082091062325846]","[[0.7438499497462441, 0.670914624858923, 0.6483176655078148, 0.660175780046715, 0.7591632436730903, 0.6669319557805962, 0.7416253899888146, 0.756241080832065], [0.747203179482341, 0.701745835081734, 0.6657938318903337, 0.6968102548568298, 0.7589879387244496, 0.7009315975955248, 0.7478863179465789, 0.7595914577069093], [0.7484826808219538, 0.6778177375220353, 0.653349054121609, 0.6758613544873313, 0.7624196694030047, 0.6762177855395057, 0.7459667791459468, 0.7634272140658299], [0.7374298572596767, 0.6934114635029014, 0.6557748439479753, 0.67880135053112, 0.7536334531754065, 0.6880452017831716, 0.7376117035138152, 0.7532505630616831], [0.750295210479441, 0.6926789731630347, 0.6639951324859587, 0.688073448367285, 0.7662619950372463, 0.6920629726585225, 0.752161471605739, 0.7667796188615525]]","[0.0031162062624745706, 0.0020465142342910754, 0.003996054782299689, 0.0021297000500375383, 0.0024157101929843418]","[0.0931073102213032, 0.09816839165181174, 0.0833676087925285, 0.09783808129205301, 0.09112857006451466]"
2,"[0.10188353457807658, 0.09390407863565065, 0.09355317673999229, 0.09442532758330224, 0.09743662114603543]","[0.12814410183399008, 0.18525916092114533, 0.16709090868965173, 0.19977933378048837, 0.12818492187451797]","[0.15050636710522802, 0.1454097382418603, 0.14728861133186347, 0.14822083082766915, 0.14923510267693754]","[0.024866731103248076, 0.04074387326752135, 0.041514082125763, 0.04719203074362829, 0.021624246129347918]","[0.050998928146539106, 0.046153003466067065, 0.05007932412866876, 0.04943531230730044, 0.053307837619689]","[0.20603478964858993, 0.36201803853662895, 0.35757224754807176, 0.3686875729885116, 0.20277681744539974]","[0.005983974210057113, 0.013087916241112284, 0.01235968174723954, 0.008152992228398583, 0.011834226856372676]","[0, 0, 0, 0, 0]","[0.004392599199161094, 0.0032055025595107405, 0.005275080538513118, 0.003046661293821483, 0.006594458399144573]","[0.025740709344140744, 0.04483640952052926, 0.0442929658086002, 0.046095491137830645, 0.019932436002303197]","[0.14611859318380863, 0.14202786217309182, 0.1425785119014129, 0.14491340737720917, 0.14532207273160752]","[0.07029534692089746, 0.10368535482379865, 0.09402850613263054, 0.11119852574525613, 0.07583648692884634]","[0.002066302338651244, 0.00291501714071518, 0.0036722056852727144, 0.004873217870107709, 0.0026746266830254333]","[0.009615538809098356, 0.02776918600453639, 0.022182416945799213, 0.025904321134898826, 0.016263889398739514]",[],[],"[0.004468533295133227, 0.0018147729615690296, 0.002499145824945294, 0.0025418645985082417, 0.003153438146978497]","[0.05038666729290028, 0.08197927525267071, 0.06867270748196723, 0.100532608530579, 0.04921168776917619]","[[0.7886411394167443, 0.8087400408889851, 0.5839850553799153, 0.7917625129251229, 0.786527360622025, 0.8038842910319112, 0.7876302936110026, 0.784297111453451], [0.7868624544484696, 0.8095375366129608, 0.5952340043054111, 0.796020681201774, 0.7860873645868767, 0.8080524925780903, 0.7923161406566702, 0.7855670239611603], [0.7888246737443103, 0.809177585707896, 0.5814264477596233, 0.790553796011261, 0.7931876858210329, 0.8083279889230932, 0.7964189162522693, 0.7917615505038547], [0.7798404719833414, 0.8057743946423159, 0.5860443211440793, 0.7883112724254581, 0.7856189512225606, 0.8042359720646248, 0.7793517091178823, 0.7826944615316747], [0.7910302347011794, 0.8101937385133361, 0.582858100768609, 0.7924160347392752, 0.7911212914485165, 0.8078152429638553, 0.7931455344226681, 0.7894484052520759]]","[0.005089537068479099, 0.004508662033628282, 0.002659751036131148, 0.0027446422809426527, 0.0044412117834026895]","[0.045931606473982894, 0.06346012153026585, 0.06018847325066497, 0.06490492832236666, 0.0425433078473494]"
3,"[0.13396579704069522, 0.13344892221853055, 0.13310953844554735, 0.13438365762481483, 0.1371038020507875]","[0.008693070623123625, 0.016135818241992374, 0.009582306002374487, 0.00619604478919331, 0.008567083500064484]","[0.13396579704069522, 0.1331987269161257, 0.1329574757811287, 0.13438365762481483, 0.13705290810014373]","[0.008693070623123625, 0.011404792443537015, 0.007029225204642092, 0.00619604478919331, 0.00832671999308344]","[0.019352713852809497, 0.019139172621708257, 0.019574042424803796, 0.019725193464628726, 0.018394407903309585]","[0.014424331253583568, 0.12593813651004884, 0.06008377412370332, 0.012875388481997254, 0.015730755934753888]","[0.001175874848231686, 0.0009255581541875577, 0.00046560159389176265, 0.00032556060223330816, 0.0002932196469227059]","[0, 0, 0, 0, 0]","[0.001175874848231686, 0.0007744035518643632, 0.0004269950449470936, 0.00032556060223330816, 0.00028507257297384283]","[0.009716834909683482, 0.019908788898673885, 0.010880272078653446, 0.0074252202446749, 0.010830068186325644]","[0.1321202512735678, 0.13415257061969224, 0.13241231952331098, 0.1333952221269911, 0.13624873994261488]","[0.009473628160489092, 0.022156092180129972, 0.010588909759336006, 0.006885248828313788, 0.008668498144952264]","[0.0021175046140590984, 0.002905177399241619, 0.0034677146094570666, 0.0032890832254861358, 0.003683129249725342]","[0.009390888175721056, 0.022407523889581303, 0.010156640164937156, 0.007450449224864519, 0.008346313316401704]",[],[],"[0.002609805978319067, 0.0031921626677154174, 0.003462922837088189, 0.0030522070867778136, 0.002962178754066134]","[0.010273120556732997, 0.04226953620848261, 0.01648639953071759, 0.008093115390947073, 0.010675053418825]","[[0.8265023012042532, 0.8265023012042532, 0.7298605817926814, 0.7822221832091172, 0.8253267063072325, 0.8243879534684195, 0.8229329272069104, 0.8235739612882712], [0.8291687875078524, 0.8292543660360837, 0.7212375449721787, 0.781227431146115, 0.8222978414181868, 0.8277503689229105, 0.8198254164918265, 0.8218916330849569], [0.8218436735338226, 0.82182542031731, 0.722996092825006, 0.7788112222748441, 0.8249600402557424, 0.8206116636409083, 0.8226667127108164, 0.8229527619912121], [0.8272465487198465, 0.8272465487198465, 0.7250617795281638, 0.7835075413912627, 0.8259676614293966, 0.8252204252718911, 0.8222759210561787, 0.824432343145352], [0.8236587952452291, 0.8238076070672906, 0.7344218958336551, 0.7841459584961414, 0.8203292714945404, 0.8227614197387861, 0.8165751916374512, 0.8175415836538016]]","[0.002182563619647743, 0.0035480360687573714, 0.0038254968457467793, 0.003470212083491308, 0.0027149457337236095]","[0.010520958299414131, 0.035634744651725184, 0.014034462485590348, 0.008147748149769889, 0.009950102442445388]"
