,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,"[0.15841693887544334, 0.15709004456202333, 0.15780631041971047, 0.15854629533264983, 0.16045909950240095]","[0.09160493147861112, 0.1897399769761309, 0.12156215893927237, 0.1649780400286038, 0.1932910065360702]","[0.1530751637126861, 0.15130890141199513, 0.1516928338239091, 0.15232439406440243, 0.1557958649973068]","[0.020981469959371123, 0.05942599422447017, 0.03174447101399156, 0.07090750071996281, 0.06296482385380602]","[0.024213929964241574, 0.027011335446888402, 0.024855120664928416, 0.025525542321876267, 0.026267346360804307]","[0.5422906220786917, 0.9899973764233871, 0.6037391068065787, 0.9764517523154043, 0.8990164184739506]","[0.00012198006891224721, 0.0004743298338246887, 0.00034471003380116637, 0.00015091689328126947, 0.00025742515628885234]","[0, 0, 0, 0, 0]","[0.00012034712963301196, 8.344180305380618e-05, 0.00014492037374860787, 2.6399466813820698e-05, 6.396440669047755e-05]","[0.023795143906101063, 0.06827201238647163, 0.03189149764815906, 0.057546920098211926, 0.05331067295004049]","[0.15575755779098846, 0.1540619937527552, 0.1548956273872775, 0.15619763180356575, 0.15761948322630767]","[0.07866925065712047, 0.15496933691765494, 0.10179911939313684, 0.14127482108737258, 0.1507078886423399]","[0.0016707030144743583, 0.002297144166094472, 0.0020464376187476468, 0.002259708673160701, 0.002447601722221045]","[0.021059328825555126, 0.04694072272080443, 0.029853646798014187, 0.04943300361348381, 0.051160591101906336]",[],[],"[0.0024395870949631858, 0.0027487051766353476, 0.0017732251938028212, 0.0019149737371287605, 0.002571522949367794]","[0.09545877447036101, 0.16765113753935634, 0.12394423350893896, 0.15700536669066276, 0.17210911961372194]","[[0.8449478437449123, 0.8541621758379762, 0.7625394892308373, 0.841821485535095, 0.8501002613894, 0.8531309023890064, 0.8441720966067116, 0.8495711575257753], [0.8488831642056409, 0.858820940669371, 0.7654735062286669, 0.8450990328743828, 0.8543536542406392, 0.8579783642724909, 0.8480703241301594, 0.8533883162077566], [0.8465607299859172, 0.85534416156101, 0.7635698422848565, 0.8432207464324167, 0.8524166641616612, 0.8545238007400241, 0.8459688370489395, 0.851258227234966], [0.8456101468013939, 0.8562915827037267, 0.7624144437713672, 0.8426272687756197, 0.8502177174840859, 0.8560288836776329, 0.8444779704123623, 0.8496332913714021], [0.8424928447529727, 0.8500954056604375, 0.7599832008787233, 0.8357658972157906, 0.8476659800753618, 0.8488874735783051, 0.8410422413407488, 0.8466349286818371]]","[0.002237346016779515, 0.0030051612693438447, 0.0020949589358257386, 0.0020778979321374844, 0.0028485744041753217]","[0.0776062795338815, 0.1472761897891441, 0.09281209887105393, 0.1393651544356923, 0.14066547256819756]"
1,"[0.19847507585295746, 0.19495285122422554, 0.20102056907827692, 0.19837022151308273, 0.1991653451699942]","[1.594466672342879, 1.5746191528586333, 1.7820843470014707, 1.6032871946899643, 1.5585384493091812]","[0.17665341060432072, 0.17097687555180988, 0.17521731493872933, 0.17381308707554213, 0.17625082403920364]","[0.2839160205323016, 0.23721722631081138, 0.2772123463709524, 0.25038956113717686, 0.2181633562192822]","[0.013682767842440283, 0.015593843451129701, 0.013812153779592138, 0.014741742963154565, 0.015516891114104647]","[3.3863780995513877, 3.2892847618220036, 3.529446638266282, 3.370224574992006, 3.2826486600571325]","[0.006720823172749834, 0.005554227900287187, 0.0067028562647717905, 0.0072954164186970726, 0.006322253041232857]","[0, 0, 0, 0, 0]","[0.0033331281717984673, 0.003130205298958987, 0.00323180982696476, 0.002853369645943501, 0.0035759094372218607]","[0.3038395675943848, 0.27457971685295673, 0.3348576951293058, 0.29505507318502383, 0.25750002561126234]","[0.16011729792674556, 0.1645425645639674, 0.16581895897032145, 0.16024882024280118, 0.16413302066908214]","[0.18668439396756187, 0.20992440040360533, 0.21353536275074136, 0.21158829251143202, 0.2442674927055374]","[0.0018754092476916393, 0.0027610403389841877, 0.0014882788373680456, 0.0021035734522223916, 0.0020215040313767314]","[0.35837574202862077, 0.34862088508655353, 0.3704953680270287, 0.3615514296826442, 0.2884875889019782]",[],[],"[0.001713817247686033, 0.002496159021138205, 0.001776239907023993, 0.002766538546365909, 0.0019253792765089753]","[0.4060598008190577, 0.4579487261937967, 0.47243265039020516, 0.42064961054781547, 0.4418310347972171]","[[0.8086596000283915, 0.8146111487265789, 0.7394506388214803, 0.7863713065212408, 0.8278633554624071, 0.8131711843203204, 0.8087875414148392, 0.8268766968131915], [0.8130707873414637, 0.8274804185046745, 0.7394472307270403, 0.7942366866474128, 0.835951652373323, 0.8256827046546282, 0.8121420096617507, 0.8357103994413657], [0.8072924921798285, 0.8184567606453623, 0.7393419988303902, 0.7864861303541075, 0.8309617051845415, 0.8180412997972312, 0.8073017863193908, 0.8308764353681264], [0.8100339034784636, 0.8212311030986037, 0.7376598599667971, 0.7901502288296515, 0.8288262837146639, 0.8205164145327256, 0.8096726869888597, 0.8282082369011774], [0.8070023366825073, 0.818594127975791, 0.7350371022012813, 0.785459799617582, 0.8238573508935984, 0.8173020582828685, 0.8062895881659207, 0.8228142433259705]]","[0.001928200115731313, 0.002668862431643437, 0.003500868978130892, 0.002448615318880593, 0.0018066201133113285]","[0.19733406573058349, 0.21069865697070464, 0.20659941108878044, 0.20947014102610273, 0.24360003089425597]"
2,"[0.06512609664496122, 0.06880236733067546, 0.06298825203815117, 0.06988031571484836, 0.06498425332540357]","[0.8756034153533535, 0.9083738620127622, 0.8929101087012572, 0.9109575530321438, 0.9280399992743424]","[0.1584836765589594, 0.15764419113970254, 0.15866199494754435, 0.15768989230621774, 0.16197927850668736]","[0.1448247326178326, 0.15190466625772522, 0.15855133290584406, 0.1713153474646391, 0.13875623162757725]","[0.041320719950470236, 0.04577798703299371, 0.04367526533241701, 0.04249970159442457, 0.04347473855014186]","[1.7445612363561, 1.8023306771405583, 1.8036871485233297, 1.787846777674423, 1.7166560046099508]","[0.007840199744039388, 0.007003111016187724, 0.010504303037970267, 0.008980895186367528, 0.009389105571859893]","[0, 0, 0, 0, 0]","[0.007008244340506145, 0.006090546208901655, 0.005951030092053735, 0.006172072284368585, 0.005278168869405983]","[0.1622196565216812, 0.15238650058428393, 0.1599655391018481, 0.15511966492355495, 0.1433648598165502]","[0.15155733901749066, 0.15122912140858524, 0.1512346132355645, 0.1520195600204245, 0.15403087789807066]","[0.10616687566424378, 0.15357376599565067, 0.13434111436325588, 0.12355233518684815, 0.13857775395826294]","[0.002128819932304077, 0.0016955259429003568, 0.0016607607843104558, 0.002179675510541324, 0.0020957296302408167]","[0.10996524057332388, 0.1199533469167985, 0.18415104590037437, 0.12665035868989988, 0.12043607998464702]",[],[],"[0.0012342815991925255, 0.0010554936504114415, 0.0015645654649226808, 0.000979481309258506, 0.0016148062999537585]","[0.1264327871447776, 0.14541008138154737, 0.10488039280065937, 0.12241591339639762, 0.12690576950222376]","[[0.8496809478607411, 0.8551952743730337, 0.7351925846524119, 0.8365593060726118, 0.8630566330771929, 0.8544288522840624, 0.850501523675972, 0.8626824904292058], [0.8491758030899386, 0.8569711173209957, 0.7320308134118186, 0.8401471408796533, 0.8655325674433529, 0.8562720016502523, 0.8525668503291212, 0.8648624503608437], [0.852859438109058, 0.8539369889788869, 0.7349290901273635, 0.8319673652443702, 0.865026890094935, 0.8532223365415622, 0.8522023438652871, 0.8639108959311423], [0.8511784794547819, 0.8550745588064567, 0.739281113819998, 0.8349961370297915, 0.863896625013091, 0.8543286936482027, 0.8514863660669082, 0.8631332674276654], [0.8450984694055057, 0.8482063636434639, 0.7331938708058111, 0.8288499844150163, 0.8601277187631132, 0.8470648470222032, 0.848111575702194, 0.85962615919972]]","[0.002354432488439631, 0.0018487767115541896, 0.002349845787976822, 0.0019151978120066301, 0.002778146505330527]","[0.04980128523337379, 0.07741503750598382, 0.07303137026458062, 0.06340732069268845, 0.05933415705874386]"
3,"[0.14687406832054792, 0.1452126880136619, 0.14634207346656347, 0.14797749441932745, 0.14871741652174839]","[0.031447069025292526, 0.02440118182532203, 0.008695171325989954, 0.0035441109614275657, 0.0026320423174657466]","[0.14668314479606162, 0.14465630281299688, 0.14634207346656347, 0.14797749441932745, 0.14871741652174839]","[0.010599361972492375, 0.007912451067574176, 0.008695171325989954, 0.0035441109614275657, 0.0026320423174657466]","[0.017960299453961385, 0.015591099023528178, 0.01847143709342954, 0.02069919527326852, 0.01963198510877574]","[0.5200077515010446, 0.36423592015319706, 0.10066833615700332, 0.01863859729957342, 0.046069460170847114]","[5.897800409833461e-05, 0.0004730464989571344, 8.03985708948511e-05, 0.000165518855003813, 9.042502986745596e-05]","[0, 0, 0, 0, 0]","[2.259275235870235e-05, 0.00028598964459954817, 8.03985708948511e-05, 0.000165518855003813, 9.042502986745596e-05]","[0.06775719214632571, 0.046210158241301834, 0.023512544263906997, 0.006543594181985458, 0.00852356101016053]","[0.14747087667300846, 0.14550388403721162, 0.14482776788249033, 0.1459616356465365, 0.14878155828038894]","[0.029336269072611908, 0.017851873938878975, 0.009556614675486083, 0.0034039146147967544, 0.0028662123901681963]","[0.0017143307371732398, 0.0018092004506087987, 0.0017124150665270867, 0.0016772057436472006, 0.002804854701358498]","[0.01957963406140996, 0.011499809099155548, 0.010074714106143318, 0.003845159654685272, 0.003788915043660193]",[],[],"[0.001446160802688297, 0.0019002768640866978, 0.0014832763331714292, 0.0022575439029341674, 0.002669828217667138]","[0.028880510633674524, 0.024527829737332744, 0.010854614950318545, 0.0039008491914422597, 0.003635871812757483]","[[0.8674833508660419, 0.8670600449615661, 0.7818169467741304, 0.8293071411426618, 0.865996675662725, 0.866265833085212, 0.865475955788316, 0.8653490267543077], [0.8711470431300089, 0.8719149666055153, 0.7888055660264799, 0.8345118809798061, 0.869939288816717, 0.8710086330386136, 0.8682836027880072, 0.869257410565105], [0.8683987413030766, 0.8683987413030766, 0.7836577087671548, 0.8314649977864861, 0.8708506861893128, 0.8673447602573142, 0.8697051443475236, 0.8697479287020791], [0.8661576242470335, 0.8661576242470335, 0.7814986676056591, 0.8293307647458958, 0.8694503782755139, 0.8655247564737256, 0.8682780730364965, 0.8683203760061875], [0.8649934429465346, 0.8649934429465346, 0.7799345927704137, 0.8303029308999459, 0.864798982112415, 0.8644379785104732, 0.8638737382020965, 0.8637973966332175]]","[0.001820919210647379, 0.002031048279494482, 0.0023933765974553526, 0.002292659319980273, 0.002289487329877659]","[0.026233331321807843, 0.0218513074530203, 0.009846085464772407, 0.0036621868257077634, 0.0033886117873800684]"
