,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,"[0.15667239053023713, 0.15339147166517528, 0.1542365947777506, 0.15739981990854404, 0.15466290072519065]","[0.2199981215798413, 0.1839103716273389, 0.1704559198491299, 0.3843278033731405, 0.2602831729279894]","[0.15049496655233285, 0.14889860718813364, 0.1486596116967821, 0.1519421957467545, 0.14925993353491107]","[0.11512935529187227, 0.05485005726287586, 0.05261793550440534, 0.1417808974487349, 0.09171923147440941]","[0.02967450822836614, 0.027186740450794777, 0.027551719839523144, 0.028375135946511355, 0.02764400179456421]","[1.3936779800677852, 0.9808398112934203, 0.9802665349938048, 2.2832557432152907, 1.5029414272229489]","[0.00030560325324814684, 0.00014539184410097128, 0.00029415501045715423, 0.00011340988628832487, 0.0002645044558447692]","[0, 0, 0, 0, 0]","[0.00010052316693327157, 5.774054235444753e-05, 4.619698562537635e-05, 4.5244401200905264e-05, 3.05738332177073e-05]","[0.10317201554702887, 0.06098444723108969, 0.053916123450947796, 0.14138356756296777, 0.09254694348817961]","[0.15428472628674078, 0.15135317857061115, 0.15171385460524195, 0.15514308108161803, 0.1521750762739715]","[0.18071795572139798, 0.15202232009197242, 0.13821085256925958, 0.32564574181734546, 0.20965071073292446]","[0.0016044727486030513, 0.001693733383309552, 0.0018466246136517018, 0.001512996471619224, 0.0019330341437947425]","[0.08045725777353326, 0.052662274374772576, 0.04688514199141305, 0.11836373041791086, 0.06774463849558648]",[],[],"[0.0015058962261643104, 0.0014883565921104533, 0.0013346557292919265, 0.0013424883020411826, 0.0017604482231732865]","[0.20959596034214167, 0.18663888124777675, 0.1619788817015346, 0.3707144594089281, 0.23397754982342403]","[[0.8440270388389841, 0.8539805688981628, 0.7464893677951855, 0.8417032838035796, 0.848160572582322, 0.8531228409098532, 0.8430608913085318, 0.8478106393770573], [0.8497678816049893, 0.8579921000423695, 0.7542735143686068, 0.8453347337769771, 0.8532198029909159, 0.8575235604273799, 0.8492679177951349, 0.8522270294782156], [0.8487662688933615, 0.8578906405103286, 0.7529664220645433, 0.8458035623119795, 0.8531450772117819, 0.8576124819257549, 0.8484035817713691, 0.8526228834130923], [0.8423061939060007, 0.8517238567927768, 0.7473667850017754, 0.8384917916018308, 0.8462914263470065, 0.8511668431857924, 0.8415556925606245, 0.8454643850663784], [0.8483495053983151, 0.8574518693193905, 0.7541846982673401, 0.8443552683423305, 0.85258288826515, 0.8570898408139488, 0.8478549202237106, 0.8518362225307621]]","[0.002547083499479083, 0.0015517061547997478, 0.00144365363876632, 0.0014283110062268316, 0.0018369951231777734]","[0.1781861444212803, 0.15058885320198215, 0.13430952885272626, 0.3161744755755946, 0.19828971946779492]"
1,"[0.20127906039629576, 0.2002898427592884, 0.1974447467378371, 0.20441290394805997, 0.19776370767432294]","[4.202488242470078, 4.368256816920559, 3.8280233890566335, 4.277612847864262, 3.7858782312443124]","[0.17461535528834585, 0.17305244756959806, 0.1727540469386862, 0.1770247669263165, 0.17288207760356314]","[0.46620996413202836, 0.47844129981300404, 0.4252196072217231, 0.47955282525842624, 0.45013507654012963]","[0.013514417814816774, 0.013494438931322652, 0.013685811071308182, 0.014159731791154675, 0.01348138173041227]","[9.422233155613311, 9.559023687770857, 9.102182049732027, 9.627819457121639, 9.341472173330775]","[0.007644014466699765, 0.007294272859735955, 0.0066880337105825255, 0.007457339266268972, 0.007404566415134485]","[0, 0, 0, 0, 0]","[0.0023545772259486604, 0.0025841020002884112, 0.0020573527323970967, 0.002638515007735377, 0.0023217096384328885]","[0.5336630045857627, 0.5337500084465475, 0.4849162722309619, 0.5290908882658505, 0.5109482775847591]","[0.163406150335063, 0.15779112161920064, 0.16145286190084845, 0.16540426494638052, 0.16281435987091117]","[0.41532948594865327, 0.5093413130029111, 0.41744774863582434, 0.44843486877131183, 0.4381857348784595]","[0.001660862740910515, 0.0017235864366757106, 0.0015387434117515642, 0.0016369770425299088, 0.0018748348062099752]","[0.728424740718529, 0.8166101105202304, 0.7144483822166805, 0.7898474500454801, 0.7346789577386312]",[],[],"[0.001864579543379063, 0.0017631965402859471, 0.00163237119336741, 0.0014540412235570324, 0.0017347179078997634]","[0.8419955362875455, 0.8440452437372934, 0.8616062399681944, 0.8391101632940935, 0.8082956107692851]","[[0.8033744576313953, 0.8151033035143473, 0.7310117970492671, 0.7844345305818752, 0.8253666176993406, 0.8142729590454623, 0.8043688607021471, 0.8254069783341511], [0.8064838143224414, 0.8176485468729113, 0.7317900520634569, 0.7873686465028393, 0.8291832260155118, 0.8171341505198834, 0.806823103416186, 0.8290394807865137], [0.8064414538726031, 0.816913312564767, 0.7297267848217258, 0.7867990520781605, 0.8300563808246495, 0.8160131551526487, 0.8061529935020811, 0.8295638331614779], [0.7995222129390072, 0.8102600007661241, 0.723584715203732, 0.780103328394939, 0.8215350486229955, 0.8097997154987933, 0.8000459156787287, 0.8212869124268429], [0.8072413873662081, 0.8183709468471491, 0.7301214991356473, 0.7882659920138271, 0.8292005666813085, 0.8167517350415279, 0.8071892768898522, 0.8292081820340909]]","[0.0015538597462872222, 0.002237460817160929, 0.0015154735021454312, 0.0017824890229119555, 0.001317256936837267]","[0.3932686116896479, 0.5153360083991673, 0.3947942912652989, 0.4391254581048509, 0.40651326237912283]"
2,"[0.05680767496258539, 0.06263500140893663, 0.05577433389033801, 0.05715137003264411, 0.059018661204927055]","[1.9941814862165563, 2.0181394687133976, 2.0324810687723525, 1.9272416273395436, 1.9991567219771802]","[0.15606404088167, 0.1536183610334145, 0.15532279360096624, 0.157318401730018, 0.15596566068600162]","[0.2914999854721602, 0.30234739187969123, 0.323171347832127, 0.3307640296859963, 0.30227324452918536]","[0.04534069262966567, 0.04178812726449095, 0.04396527925776195, 0.045913421984038395, 0.047433727780206124]","[4.12779608680448, 4.064322304083432, 4.803165097146324, 4.859283984868378, 4.220511087759444]","[0.0061602336155311245, 0.007328863019223782, 0.006165263905176586, 0.005819673184251887, 0.006674563836045557]","[0, 0, 0, 0, 0]","[0.004901323961316744, 0.005858864970436153, 0.005167063159020836, 0.004219985721999674, 0.005396682048094365]","[0.3078263526218189, 0.3132820909142068, 0.3228063076972842, 0.3465596628923631, 0.3190711222694253]","[0.1522640255466203, 0.14897516327029714, 0.14944842024502517, 0.1527557124706592, 0.15095197667418378]","[0.30501275130053773, 0.31453094833990636, 0.30878832299802383, 0.30608412910315663, 0.3021367936496431]","[0.0015884551292295083, 0.0020819729636496775, 0.002078650941765198, 0.0013387055517408266, 0.001521884916341331]","[0.3446363380086519, 0.30278089178789586, 0.41838652278536304, 0.3494891053273536, 0.320868728671767]",[],[],"[0.0010308525317392493, 0.001580898221989792, 0.0007434621815840885, 0.0009673495918215509, 0.0009126975207796998]","[0.3920288155607268, 0.43088372859126994, 0.431008812078699, 0.5515415691582644, 0.4286410617676492]","[[0.8406772351468788, 0.8501213914976418, 0.7219149681609183, 0.83445748175851, 0.8602634689815982, 0.8498585004233687, 0.8434505040435452, 0.8595766158056621], [0.8462183411079465, 0.8553404750903112, 0.7287146977973619, 0.8407088498510527, 0.8662050459693598, 0.8550147326944845, 0.8520241346519601, 0.8654903346201193], [0.8429374997486738, 0.8521796475180718, 0.7229404677823356, 0.8364776425749557, 0.8650932937612095, 0.8516927326724686, 0.845554827037574, 0.8644343214715213], [0.8373468295405015, 0.8478460214866741, 0.7122251400505848, 0.8313670707453455, 0.857765386928888, 0.8472415288937479, 0.837779963992169, 0.8571168422022547], [0.8433854459422636, 0.8532230164523815, 0.7178554927166271, 0.8384045305529192, 0.8638216320926899, 0.8532571049590435, 0.8461126348237328, 0.8629755230591645]]","[0.0015259981574454718, 0.0016633919166714447, 0.0014286504666583548, 0.001172101954520107, 0.0013895675162368727]","[0.12075915539217785, 0.14263071068166627, 0.1393893518623641, 0.15073660806654993, 0.1118109070347533]"
3,"[0.14229531301219456, 0.14198662124095862, 0.14151714209455726, 0.14510963093159535, 0.14239406170323068]","[0.00557638810502804, 0.1499544244008919, 0.02009037664688866, 0.06891224937419316, 0.011239638142171965]","[0.14229531301219456, 0.14092522580676017, 0.1412297693492553, 0.1445575432131647, 0.14239406170323068]","[0.00557638810502804, 0.047220993915616995, 0.01134198862093449, 0.012288908976019947, 0.011239638142171965]","[0.02160555655490281, 0.018070304464685348, 0.016447136169047038, 0.021605195194462898, 0.01667863994864429]","[0.06688045398495998, 1.1480979459820497, 0.3028523088162274, 1.2073660514317353, 0.10329176722622667]","[0.00014262719375769483, 0.00017193025884521034, 3.118009592322144e-05, 0.00011324862626376757, 0.00030612388662471836]","[0, 0, 0, 0, 0]","[0.00014262719375769483, 3.965402638829604e-05, 1.5451003214119466e-05, 7.999927308906279e-05, 0.00030612388662471836]","[0.01259993169534314, 0.19082564594273219, 0.05001110653501493, 0.12976414798165417, 0.024683386835164262]","[0.1428913344907276, 0.14116054260941455, 0.14128197933474443, 0.14469842918523354, 0.14136844809159133]","[0.005595294758245016, 0.058469988725183296, 0.021809725398948408, 0.0453167325207191, 0.009548085279757486]","[0.0021713706331960075, 0.001080589836894405, 0.0011044439557092757, 0.0013683270848439259, 0.0017313093479903892]","[0.00555520223825561, 0.08602324356187081, 0.013340124177755153, 0.03302995048243829, 0.010964121910270741]",[],[],"[0.0015687569972219306, 0.001404155296362673, 0.0014112982263633374, 0.0017219341769449889, 0.0017652973840882663]","[0.0060222286425963166, 0.1013505298994302, 0.01866096136055424, 0.07433745867759255, 0.010136599846660248]","[[0.8714357488311566, 0.8714357488311566, 0.7765237274816088, 0.8338602403372088, 0.8702476281290199, 0.8709010813574838, 0.8691571582852046, 0.8696694628093417], [0.8726164313043167, 0.8734185305109867, 0.7847078315537996, 0.8342157129138605, 0.873667385682913, 0.8728997463747326, 0.8725844424478563, 0.8729986864831597], [0.8731980735784646, 0.8735496919807457, 0.783936839729623, 0.8367456081952634, 0.8732723832416931, 0.8726858447367056, 0.8729789688936226, 0.8728411073677834], [0.8669035491214938, 0.8675895821621469, 0.7742450054405162, 0.8286269969696687, 0.8672066340132166, 0.8665913483887064, 0.8662733861958938, 0.8666283656399569], [0.871945232281468, 0.871945232281468, 0.7847837326488624, 0.8347791479588336, 0.8735602030166374, 0.8712759377058364, 0.8730945468955901, 0.8731339290011373]]","[0.0018415096325576097, 0.001533083541520314, 0.001777180668249549, 0.0015307665233709451, 0.0014836830765462103]","[0.005623523791869718, 0.07140153675507745, 0.020199415923118733, 0.06321983359108618, 0.009835339545185052]"
