,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,"[0.12804451254685748, 0.13042329724747737, 0.12915446738100322, 0.1291073513271527, 0.13073409735922797]","[0.6012055822519502, 0.41510032066948105, 0.5317722684617718, 0.5432667120156938, 0.5514737945613898]","[0.11903582576391396, 0.1167190328002516, 0.11786126312661352, 0.11751099517784865, 0.12021254711817418]","[0.2368314225116843, 0.15533673440180396, 0.23635162613556465, 0.2697205914545171, 0.1498412210515522]","[0.01684835787046173, 0.016029096143205634, 0.018197577021945844, 0.018794259651860993, 0.017907209801085105]","[2.186358602757115, 1.724932696406567, 2.1065565111084927, 2.188422170345739, 2.122388913803026]","[0.00020235750771130278, 0.00016397520438975755, 0.0004914855547804032, 0.00024841968236608144, 0.0001724085388541245]","[0, 0, 0, 0, 0]","[0.00014677672259641464, 8.354802520839517e-05, 0.0002683210542415675, 6.274349354151101e-05, 4.2585320649937835e-05]","[0.24732121561175505, 0.1207991165522478, 0.22625661373604045, 0.24218256694314197, 0.1549286072577258]","[0.1264756863379168, 0.12817333970986064, 0.12719773073510282, 0.12769776811937947, 0.12909347422212067]","[0.5458286385553639, 0.35517863214914275, 0.45569053158130934, 0.4871427199945206, 0.49008660516400926]","[0.0017050240069576025, 0.0017810922920393393, 0.001658390757892474, 0.0020499299089793686, 0.0016699317533683475]","[0.22576934405490964, 0.12116130341126416, 0.20482864202727213, 0.17223211386806284, 0.15924888519829594]",[],[],"[0.0013982839700574796, 0.0017184581471373246, 0.0017819061059787132, 0.0016692135945829128, 0.002320357897851892]","[0.5963926916423912, 0.3991221235507593, 0.5196172260292354, 0.5292722952061824, 0.5289607664492293]","[[0.8642885125445484, 0.8785616447838482, 0.7807842450699386, 0.8657374801612749, 0.8673500864297001, 0.8784950560692448, 0.8632645251958415, 0.8669763939389964], [0.8634727011493963, 0.8819562157134373, 0.7825686228099528, 0.8678057968497033, 0.867942223025687, 0.881637387427745, 0.8632815714731366, 0.867345211114695], [0.8623856459674073, 0.879053890878749, 0.782698221260885, 0.8657598743818631, 0.8660784183218757, 0.8788777691790347, 0.8610269914259289, 0.8649930615934865], [0.8628079600708861, 0.8796615588014205, 0.7767116001569182, 0.8666750400518569, 0.8656216581669286, 0.8788442863228424, 0.8624194851380936, 0.8650502022047174], [0.8637074368222923, 0.8800963799599443, 0.7786085674468843, 0.8652284515876001, 0.8669937465240607, 0.8796389624261011, 0.863405873975703, 0.8659219517017234]]","[0.0016351122592885997, 0.0017125418938048866, 0.0013048998363196015, 0.0017274143180289858, 0.0013016627223037256]","[0.5237820928712957, 0.3166110076231204, 0.413949917831987, 0.4683056001143755, 0.44809850997002776]"
1,"[0.26261380205136126, 0.2615459679846405, 0.26602926897258156, 0.26238941161553503, 0.26544792660543404]","[16.850292535369658, 16.48767842932995, 16.657595668181052, 16.490420275228434, 16.02151431486578]","[0.20166033109456782, 0.2007658006072257, 0.20375140984800955, 0.19962220695531216, 0.20599764737361856]","[3.060434613277707, 3.00530787510255, 3.0795546371295583, 2.9897442266659175, 3.0465926100207055]","[0.0027140481455574894, 0.0026817228139259675, 0.0031032222792372194, 0.00331816840071296, 0.002967853656650974]","[17.583628752899337, 17.339814381483517, 17.327102308289568, 17.27397147587548, 16.613467880128827]","[0.01506121629617647, 0.011320009491049731, 0.012127642265910177, 0.009148916849233624, 0.011415517542957162]","[0, 0, 0, 0, 0]","[0.005252771736866154, 0.0053789793259194415, 0.006130197648139585, 0.005547492816862067, 0.0052038522792771215]","[2.9932408552041667, 3.193035762206011, 3.3283313607866374, 3.3733283575477215, 3.3144488640673955]","[0.1356326006156682, 0.13271538588437296, 0.13383222172376574, 0.13437347363510832, 0.13364981585725608]","[0.7983970581031217, 0.6952582483832707, 0.7880521989017658, 0.7412994522966737, 0.7705160662251346]","[0.0019584540635423663, 0.0017137193143803838, 0.002815787864109654, 0.0014872010015363993, 0.0015483414127487637]","[4.186091824176573, 4.354505539274423, 4.461856647417147, 3.6101032843100938, 4.560095161222368]",[],[],"[0.0020210465947680337, 0.0015235637645393662, 0.00408926495432779, 0.0024467370404969353, 0.0009685046030187872]","[2.1731234639828036, 2.0901828851656954, 2.093243105737422, 2.335803801640621, 1.9673231718725173]","[[0.828633310033981, 0.7887198255319416, 0.7258159342855788, 0.7621082505446803, 0.858074031339655, 0.7889107506876933, 0.8294875202722349, 0.8583365785452567], [0.8268098670199027, 0.793680266264551, 0.729416744789809, 0.7662254280453156, 0.8571749757971276, 0.7937132213945993, 0.8276774536500204, 0.8570140701071111], [0.8252587674226606, 0.7846753529357993, 0.7244559698552331, 0.7577442118176719, 0.8543022683018082, 0.7851020393215858, 0.8269262602997475, 0.8546251647551362], [0.8205729561519411, 0.7901418481535232, 0.725948188099725, 0.7623193354400168, 0.8560999359009842, 0.7908737923272114, 0.820735991476997, 0.8562831977145773], [0.828284822883816, 0.790320342964699, 0.7287776427586341, 0.7609105112403438, 0.855323742553855, 0.7907583414505558, 0.829557066885912, 0.8549980189155391]]","[0.0013495506554228244, 0.0013843869094612715, 0.001888578525116245, 0.0015968501863857423, 0.0017791105901053246]","[0.6121172691719048, 0.5311890130200081, 0.6344028354242672, 0.5444426707687336, 0.6340030658734991]"
2,"[0.054280818424307806, 0.06185913600121895, 0.05668431739385939, 0.06303558925551772, 0.05926630078451862]","[3.3626468627684383, 3.1035157989111504, 3.4160612976343523, 3.1507693989462684, 3.229455263834588]","[0.13080161658563355, 0.13297575934982286, 0.13105768706126464, 0.12632798298625322, 0.13363877579809272]","[0.5775789716883136, 0.6986570915635909, 0.6531560928365475, 1.325163036259833, 0.6688401292220381]","[0.013561517512982988, 0.01209936676659155, 0.01369157244167428, 0.013101227378198015, 0.012876560998618312]","[1.953639716891002, 1.9854489375425828, 1.9163914652272527, 1.8387175644383749, 1.9037698761995299]","[0.014850437548588065, 0.01559451019843517, 0.012502112466216039, 0.012651350590003144, 0.01600867834854401]","[0, 0, 0, 0, 0]","[0.013451086067216395, 0.0124894664750392, 0.009212024822426945, 0.00887238336012407, 0.0123361693010443]","[0.5704475014342549, 0.7278657933913375, 0.6946330764048131, 1.084736325217904, 0.6812345615499329]","[0.11560076402567455, 0.11814166125545242, 0.11816156597656982, 0.11604099049580414, 0.11820300027708339]","[0.35599479455693256, 0.2441577072300005, 0.2677431911489068, 0.2543704973952957, 0.2658927278240746]","[0.0014246292465926208, 0.001282121728945525, 0.0014927521663309416, 0.002059145357859615, 0.0017556006251721681]","[0.30221506843357915, 0.30813104646181844, 0.3340085496688959, 0.4359085305846323, 0.29437953333089506]",[],[],"[0.0009730904773731786, 0.0005669620228935296, 0.0007178351100408817, 0.0009605669339277095, 0.0012009516529019]","[0.4330012779601433, 0.28277021642366457, 0.4472765482909036, 0.42420208473542975, 0.2579052021982908]","[[0.8762013420901177, 0.88167924843082, 0.806028651673168, 0.8688196796697039, 0.8889481782069124, 0.8806021950606082, 0.8763266430026905, 0.8880586341561567], [0.8789087127377504, 0.8818544579311439, 0.7970709661817277, 0.8621163607143971, 0.8880546280360518, 0.8812410390012777, 0.8812161866004522, 0.8872048291137431], [0.875846168611603, 0.8776693213729336, 0.801928825781159, 0.8546170200520589, 0.8843944547339415, 0.877337229609866, 0.8728688193710575, 0.8838509809104169], [0.8761079041547233, 0.8769016609587253, 0.806907892361788, 0.8629676360138594, 0.8877820075907996, 0.8768590319043024, 0.8736180504914124, 0.8873292631661704], [0.8796565631359161, 0.8802491002742174, 0.8051789485866389, 0.8649157376063679, 0.8876030927420782, 0.8802000453278555, 0.8804975897475463, 0.8868979291438821]]","[0.0010499418676562459, 0.0017293748096727302, 0.0014223617474074975, 0.0017414357729499616, 0.0017975792769503983]","[0.2572847758000711, 0.15196292802287775, 0.1855797699521729, 0.1839427588215, 0.1836718922923072]"
3,"[0.10909597105522413, 0.11287220083856855, 0.11210962971846937, 0.10867186070417846, 0.11220069286359362]","[0.01609461261130682, 0.05536491755470272, 0.029111310075706553, 0.023985629949656757, 0.014312926796780605]","[0.10882917318281958, 0.11287220083856855, 0.11185854293878027, 0.10872115543289865, 0.11199274865146594]","[0.0014681226560008102, 0.05536491755470272, 0.012127377407593695, 0.01600377604352608, 0.008252170024655054]","[0.010765486031022604, 0.011146308600325788, 0.011116488494456423, 0.012824878030756649, 0.01168217047919897]","[0.22869884675945754, 1.2435728032733195, 0.5632626064916236, 0.41979481808923796, 0.23275878506220832]","[0.00010494521906164752, 0.0002828224021199031, 0.0002283390404857163, 5.387303146099723e-05, 0.00015059947729083827]","[0, 0, 0, 0, 0]","[0.00012863295537207146, 0.0002828224021199031, 0.00015174918791402832, 5.402177052405612e-05, 0.00017223270046220652]","[0.032627763205242556, 0.15347645105550992, 0.09434785638758358, 0.07599169912518035, 0.04009916231610844]","[0.10898556369869723, 0.11071951779091142, 0.10905323671281819, 0.10786960118726302, 0.11161607400558862]","[0.01336427322171209, 0.031306531033984605, 0.01764915351469617, 0.013640381695507407, 0.014215793589165072]","[0.0015580976292672423, 0.0011923113078283398, 0.0014082551540810257, 0.0012409704355592407, 0.0017980614667807786]","[0.006875360193966692, 0.12723938355584768, 0.018169305778554815, 0.01972239787968876, 0.015631704362220715]",[],[],"[0.0016087461207637177, 0.0014912950724247336, 0.001106217375045593, 0.0015504292949375573, 0.0018842448498172341]","[0.019355427657999205, 0.14909678524842604, 0.019801559675527332, 0.015928378946973656, 0.018322393493823485]","[[0.8966900104249315, 0.8971350938942068, 0.8179376936590805, 0.8607306578320012, 0.8961283464722136, 0.8964225303498561, 0.8955307760520861, 0.8955510701383109], [0.8945294544587616, 0.8945294544587616, 0.8163939295400776, 0.8573231630241103, 0.8962543380591258, 0.8935282332645939, 0.8945921800640892, 0.8955691837727812], [0.8926966287413004, 0.8929950810796187, 0.8157822252881705, 0.8554484601588341, 0.8957788985671887, 0.8923239235264011, 0.8950803251829738, 0.8947340852501868], [0.8973822190613946, 0.8969044046212263, 0.8153805748694956, 0.8616551505043286, 0.8987044517929674, 0.8959756507975474, 0.898235331634188, 0.8979128911223264], [0.8954631960317231, 0.8957152317667898, 0.8143359589734687, 0.8601318104299073, 0.8962640283283023, 0.8949427394259115, 0.8947219369139124, 0.8953924717183117]]","[0.0017374614885850054, 0.0018227609436208166, 0.0014797160582695817, 0.0015874794337383618, 0.0015344096241190189]","[0.019216529944409113, 0.0581149780040836, 0.01865456288306439, 0.015426602633921984, 0.018863427811817258]"
