,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,"[0.16090953085509047, 0.15706603481131107, 0.16160937384356494, 0.15863390942262603, 0.1628396505834395]","[0.016337583140747205, 0.008106638260419139, 0.008429790583738125, 0.017255243462281456, 0.006686456698906217]","[0.1603488153243971, 0.15706603481131107, 0.16160937384356494, 0.1576611036768176, 0.1628396505834395]","[0.013963888030941946, 0.008106638260419139, 0.008429790583738125, 0.011060848493793508, 0.006686456698906217]","[0.0029413393222495173, 0.0031110896483548325, 0.002257965962509073, 0.0034164263942664135, 0.0018055695048338476]","[0.07208164271140423, 0.025359866793388735, 0.024392689429605798, 0.08381635893290132, 0.01998141353215119]","[0.0004048382111417846, 0.00029600962728800715, 0.00012644426818256036, 0.0005434624535295257, 0.0002811300099095384]","[0, 0, 0, 0, 0]","[0.0002381614121403986, 0.00029600962728800715, 0.00012644426818256036, 0.0003685195174458793, 0.0002811300099095384]","[0.013690712223860169, 0.008227756673832444, 0.00848838683936035, 0.011861366796546632, 0.00662211612482135]","[0.16092167864222418, 0.15697894333771292, 0.16156183566481688, 0.15863390942262603, 0.1628396505834395]","[0.01634202818557845, 0.008106232493472445, 0.00846669051816625, 0.017255243462281456, 0.006686456698906217]","[0.0015947131310597368, 0.0019161271468375494, 0.000977195645208238, 0.0016283959142713992, 0.001448006994312141]","[0.013567305543289616, 0.007598219961054141, 0.008417001334805968, 0.01139434033802482, 0.006446209230799699]",[],[],"[0.0019522184867706415, 0.0019159355072975953, 0.000977196032952303, 0.0007996993205907964, 0.001447981606564615]","[0.016041953031339998, 0.007597983848381479, 0.0084170013439491, 0.016454828947052715, 0.0064462092598142045]","[[0.651138422064417, 0.6555378073712027, 0.5069207293677357, 0.6496125110926153, 0.6494406960751327, 0.6543468884599417, 0.6502593359975287, 0.6489237752867355], [0.6409029216314287, 0.6409029216314287, 0.5100220503719536, 0.6353592893140549, 0.6441594186466331, 0.6409337977029183, 0.6409337977029183, 0.6434713495769632], [0.641555271677615, 0.641555271677615, 0.5095173817099112, 0.6355569972393373, 0.6410743097064617, 0.6407643892215734, 0.6407643892215734, 0.6408447265913153], [0.646843769019173, 0.6544777963908461, 0.5063881885514016, 0.6479229473699799, 0.646843769019173, 0.6541092238350508, 0.6462255578729335, 0.6462255578729335], [0.6517919170884536, 0.6517919170884536, 0.5039061521916458, 0.6474340919924386, 0.6517919170884536, 0.6511548627251852, 0.6511548627251852, 0.6511548627251852]]","[0.0015672603958137756, 0.0010328986244337594, 0.001163612273778245, 0.0007996958460396475, 0.001448006994312141]","[0.016393212387909816, 0.007701204693321515, 0.008393625846603948, 0.016454832969209184, 0.006446209230799699]"
1,"[0.18219674992931031, 0.180808589185699, 0.18409540255603513, 0.18322694757351127, 0.1857083635856066]","[0.08969124358948526, 0.1417540565496268, 0.1368698811189979, 0.1303516685116839, 0.13997207828466698]","[0.17511181229806574, 0.17046072965893333, 0.17529243917505105, 0.17662681710435904, 0.1779867899463547]","[0.020318341463960488, 0.025392322509330247, 0.029683199841475806, 0.03419855752378882, 0.03233177336977656]","[0.043978388544079844, 0.04469734505948639, 0.04040209191768842, 0.04688277133126025, 0.03863238118075339]","[0.2574366403536528, 0.45687888373852065, 0.450654886107562, 0.5071754921622507, 0.4426061073335709]","[0.012401609074417999, 0.0163029462421217, 0.014558803898178476, 0.015093894317530866, 0.011842545146873652]","[0, 0, 0, 0, 0]","[0.0077335876366666665, 0.00907519890779431, 0.008109213596312009, 0.011251230015887414, 0.007042373756022434]","[0.02291099278833253, 0.022917010876058474, 0.03194083684672167, 0.037734428435903127, 0.03725654692825736]","[0.16355045859359882, 0.1620034398508102, 0.1668287942869771, 0.17027773544774255, 0.1671027662040308]","[0.033003496025054174, 0.04371813600310717, 0.04439365144437966, 0.05439894908850255, 0.03945613906553147]","[0.001234304078299242, 0.001419347349652862, 0.000899442861329102, 0.0013156947716339883, 0.0011355901272148965]","[0.020069134040420007, 0.021137321702412448, 0.022592920470954854, 0.02890263226082725, 0.019602411483598006]",[],[],"[0.0014759693879945173, 0.0013250551580947872, 0.0016531524738475293, 0.0007899083843334925, 0.00195363876236543]","[0.033363121085955176, 0.04936830963954791, 0.05059039535162092, 0.05299257597716177, 0.04153671929581185]","[[0.6118608636793836, 0.6360449489493745, 0.5718650350930008, 0.6224253228418346, 0.6601031834575903, 0.6335067027926827, 0.6138482667973184, 0.6575586801804728], [0.6168556657734033, 0.647219067951601, 0.5622540985178914, 0.623073204573789, 0.6511446145396952, 0.6457689741724213, 0.6190819672559364, 0.65079330484327], [0.6192785295035252, 0.6471780023534679, 0.5680315101891155, 0.6262616055435146, 0.6428677568995913, 0.6465016458931749, 0.6182280456105383, 0.6428894739554666], [0.6161474980768553, 0.637388267263916, 0.5674064435770508, 0.6122101017290837, 0.6543097878287273, 0.6360504160898036, 0.6161238963950152, 0.6555976992122793], [0.6139740217123368, 0.6421500205676997, 0.5726888554172366, 0.6236111748316676, 0.6432470099074881, 0.6413013988368557, 0.6163202169211902, 0.6433210769543007]]","[0.0018923424525859362, 0.00193737165753671, 0.0017517897162375095, 0.000833861726019118, 0.0009554140358180674]","[0.02447250743075467, 0.03073267373149533, 0.035904049365061474, 0.03469459926528724, 0.026891154266344742]"
2,"[0.1346584840941363, 0.14133265636372025, 0.1327103195363238, 0.13791759591618188, 0.13942921269304034]","[0.029114596985616553, 0.011485051180212941, 0.07466137048550511, 0.07600216123430988, 0.00853728846294042]","[0.1600438618628579, 0.15697387101797283, 0.15936974082135036, 0.1567115068607265, 0.13942921269304034]","[0.012056854741870633, 0.006905082118352811, 0.02183988361512318, 0.020549189056661282, 0.00853728846294042]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.1144480602086932, 0.03277925672478332, 0.4620188360282233, 0.47793507905128907, 0.022729078945017456]","[0.004302148285849809, 0.0040675140590338945, 0.004179905490691117, 0.005262819887150261, 0.005520866786535972]","[0, 0, 0, 0, 0]","[0.004622051219481953, 0.003203884493483213, 0.0016557957838255204, 0.001895402564306311, 0.005520866786535972]","[0.015076812578439638, 0.008253296175646503, 0.02317948927909159, 0.024034092649652596, 0.0085477448670644]","[0.15898096408443596, 0.1547776891785062, 0.1600200496191307, 0.15642973303895946, 0.16050966025016164]","[0.020066810890123316, 0.008800073798100768, 0.04120778953835708, 0.039150899643671265, 0.006721363390393929]","[0.0006656426211833446, 0.002064885811166934, 0.002264607459333866, 0.0016431346354660273, 0.001284506506396234]","[0.0043096573794461895, 0.003720415246011613, 0.024868288628877713, 0.024965014931902032, 0.005683913123178575]",[],[],"[0.0013604979790663697, 0.0006028319296526466, 0.0017076227366354126, 0.0007871748996915647, 0.001900328119209609]","[0.01734392660593143, 0.007775647029311746, 0.02712585776081041, 0.026144290671361856, 0.00612163113361909]","[[0.6902553810251839, 0.699601905470258, 0.5, 0.6785767608973261, 0.6661069298592541, 0.6987010572172343, 0.6824054299212351, 0.6658739406675441], [0.6804248033175879, 0.6882220623387271, 0.5, 0.665149269990083, 0.6614971796861653, 0.6876294376751089, 0.67547499968777, 0.6605849580922122], [0.6711280200772608, 0.6816696245663966, 0.5, 0.6632055633431834, 0.6557203984135533, 0.6811677914029571, 0.6722254592350797, 0.6541250209990553], [0.6792049142685508, 0.6821087058455391, 0.5, 0.6657931831099362, 0.6658147324716164, 0.680898360091564, 0.6984295002270429, 0.6648302022976006], [0.6816794673704527, 0.6816794673704527, 0.5, 0.6712518575082213, 0.6716686353078585, 0.6813054773844729, 0.6826805389126102, 0.6705676412930979]]","[0.0020344211640986507, 0.0016186331156863164, 0.0016833540308996073, 0.0015176077289141483, 0.0014332516901302223]","[0.01869941374862802, 0.00819208628177317, 0.034193415443333396, 0.03512311248250172, 0.006254359053054767]"
3,"[0.15610491305374366, 0.15509218603384403, 0.15748756784951232, 0.15608962080005462, 0.1589203575150647]","[0.007717298928294057, 0.005805471772802036, 0.005662781752633985, 0.007128971509324082, 0.005227821671999845]","[0.15610491305374366, 0.15509218603384403, 0.15748756784951232, 0.15608962080005462, 0.1589203575150647]","[0.007717298928294057, 0.005805471772802036, 0.005662781752633985, 0.007128971509324082, 0.005227821671999845]","[0.0280022300911695, 0.021071774977655944, 0.037542599977357566, 0.02157636801508772, 0.025775944293552493]","[0.018480633605632055, 0.014103682411834429, 0.020281009610786212, 0.01737085712667465, 0.012814502799692757]","[0.0015297279961979154, 0.0037862620303451104, 0.0018133737385690445, 0.0037576398545005585, 0.0024851162778221376]","[0, 0, 0, 0, 0]","[0.0015297279961979154, 0.0037862620303451104, 0.0018133737385690445, 0.0037576398545005585, 0.0024851162778221376]","[0.007618905091221301, 0.005447290901215919, 0.0062675661940473385, 0.0077418968776252674, 0.005668170767119433]","[0.15167102282652495, 0.15080449462158893, 0.15566185265749546, 0.14880825795162136, 0.15804584107158484]","[0.007724678826583858, 0.0068560009968589705, 0.006643250042813249, 0.006650350398085348, 0.004624349045616208]","[0.0024905318817562212, 0.0011891715802000247, 0.0010033211112178808, 0.0015531416300185621, 0.0017387593536029949]","[0.008232509486581259, 0.005972360510962685, 0.0062303738585170855, 0.00620018124790032, 0.004887489888713076]",[],[],"[0.001075010567134724, 0.0010235447564059831, 0.0021239756024116945, 0.001761585389586889, 0.0013372657341248245]","[0.00818351234086109, 0.0058294055681144775, 0.006338997405632431, 0.006171349377369305, 0.004495988905549378]","[[0.7127652340222068, 0.7127652340222068, 0.598221934945624, 0.6806781301835225, 0.713724127889245, 0.7106850169512869, 0.7137256036251945, 0.7117817445560101], [0.7069463283677754, 0.7069463283677754, 0.5768027687163072, 0.6803176451871245, 0.713662026970626, 0.7058887259851304, 0.7092142401013111, 0.7108762625007276], [0.7059995727405313, 0.7059995727405313, 0.6110305923287648, 0.6705903655743748, 0.7111589668818832, 0.70439099591979, 0.708680920976276, 0.7091836786882899], [0.7063081359926895, 0.7063081359926895, 0.5800020354186999, 0.6799839307355628, 0.71927574104452, 0.7048760189367178, 0.7133712360649473, 0.7174823150364564], [0.7143696291670976, 0.7143696291670976, 0.5924204333291602, 0.6832247664652406, 0.7125415339227075, 0.7133542107796519, 0.7110376035091839, 0.7095421490096787]]","[0.0019367279617903321, 0.0016394281253520248, 0.0016684752222412146, 0.0010195918115724777, 0.002041867925696044]","[0.00791700045772638, 0.005867348353268726, 0.006405259817435111, 0.005889287074444817, 0.004459317301155448]"
