,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,"[0.16814688248327217, 0.16624136680056573, 0.16697077606971805, 0.171488095512296, 0.1720739794874269]","[0.1597261217552646, 0.15199756706164674, 0.19351909718981558, 0.15214667512459276, 0.19673069183917216]","[0.160268887400765, 0.15669621295422567, 0.15778762719468056, 0.1627198687674121, 0.16229391917030445]","[0.0427205370279195, 0.04254744703265083, 0.07224822958117352, 0.044075920147297915, 0.08526166159843601]","[0.04483329175974758, 0.043199393816959766, 0.04435839011113881, 0.04718738485528738, 0.04838747182462059]","[0.5038514522115647, 0.4498670777251684, 0.8157838772627946, 0.48638394663895007, 0.9376868162169426]","[8.978196044810542e-05, 0.00026395914844156495, 0.0002701016417629482, 0.00023282840280334122, 0.00016744993626979129]","[0, 0, 0, 0, 0]","[0.0005715624651126077, 0.0008437354137768133, 0.0007159808328738381, 0.0010088258962680332, 0.000604839847890495]","[0.042903241304980355, 0.03639307014043174, 0.06035165799805797, 0.039652697789820945, 0.07150506067976194]","[0.1671010136673293, 0.16547456851062262, 0.16575793203395386, 0.17032649416379203, 0.1711953237055246]","[0.15526010361419923, 0.13874773190016446, 0.18305081496899056, 0.1425854061468851, 0.18574828032507903]","[0.0021492547147584314, 0.0027248903508429816, 0.0018282985172252727, 0.0022344291958994113, 0.0015570897112801784]","[0.04770895178150671, 0.02911795204867757, 0.05905739484339249, 0.04476010331969125, 0.0830348216553515]",[],[],"[0.0016882169482747111, 0.0022648526111828725, 0.001660081937403565, 0.0023516250389783912, 0.001871602219334086]","[0.15838957130328676, 0.12559042920842378, 0.18999114251022345, 0.15060687806941123, 0.19957756775849958]","[[0.7583701436041149, 0.7916980891655224, 0.6720665085049046, 0.7790073686296669, 0.7599951684807227, 0.7907017660310725, 0.7544074951105006, 0.7563905891174649], [0.7630159356319878, 0.7986392460545925, 0.6774796954555254, 0.7846068541460838, 0.7648651418119614, 0.797539199380202, 0.761462575786653, 0.7632022481892943], [0.7624459093765062, 0.7932893853714804, 0.6745293522693563, 0.7798913908612065, 0.7635010802235798, 0.7922522317994114, 0.7612172317277266, 0.7614429428077891], [0.7493852121321984, 0.783002306539649, 0.6644756403752143, 0.767256274270459, 0.7518785585392582, 0.7825650704321511, 0.7486774623002304, 0.7517170595651065], [0.7547411579014004, 0.7857987146134437, 0.6668251101561353, 0.7707716845181547, 0.7565125442394, 0.784713723691996, 0.7555608905366985, 0.7563221521809665]]","[0.002464015338139854, 0.0017449645680664757, 0.0016723265287357908, 0.0027104194884227245, 0.0015779182693480313]","[0.15148466536419566, 0.11753014425441806, 0.17970434086096623, 0.14185441589054631, 0.1867675058003146]"
1,"[0.22807365641746852, 0.2195434101642521, 0.22488020401522324, 0.2358243113341739, 0.23934318920248557]","[0.930847817492955, 0.7773732057775491, 0.7270519838216707, 0.8766213510915607, 0.9033664098004084]","[0.21124151752287973, 0.20014139068009074, 0.20284151287837968, 0.21405232904307284, 0.21718624213917556]","[0.42811832359338564, 0.466907664898884, 0.323246678765993, 0.37643299639789163, 0.3802382080046061]","[0.0457441501765963, 0.044179830120216784, 0.04489288721849033, 0.04813234493579685, 0.05052599166718442]","[1.1073440811780495, 1.0016060470609405, 0.9659600689481503, 1.0711450868792387, 1.0878735485003275]","[0.03695097308099789, 0.03209868002713922, 0.03253011526732513, 0.03710187805322615, 0.03952604137090697]","[0, 0, 0, 0, 0]","[0.0107227648411548, 0.005962354315479186, 0.006525073328599219, 0.009725321083984342, 0.011302566971074386]","[0.4063833455630818, 0.40241689195850083, 0.2703034441049467, 0.32976472204696383, 0.3549432076505174]","[0.18437902313880214, 0.1780568402852542, 0.17737746769701948, 0.18868342526679768, 0.190252530682508]","[0.4858396132937498, 0.34662384818867337, 0.3158664446663916, 0.4309423215345384, 0.4652652845669616]","[0.0017948181460798783, 0.0022061594729805368, 0.0015982967087359889, 0.0017983182637289245, 0.0017087868244472185]","[0.4153858932964104, 0.36149314491758894, 0.4039710410740562, 0.36711045203088305, 0.3367377288699178]",[],[],"[0.0020381044552328052, 0.0015128523879619543, 0.002173883173204326, 0.0020466604858327903, 0.0016152767189090503]","[0.3539770081955337, 0.28997229646186073, 0.3317118048170164, 0.3448226795477279, 0.308696854449822]","[[0.7317235239511639, 0.6928056983729787, 0.6607114607624032, 0.6746173474941396, 0.7500641186326361, 0.6938922866802935, 0.7328609984166348, 0.751880958852795], [0.7360853898496231, 0.7118347566653163, 0.6677976617788866, 0.6967529905964135, 0.7539741940375244, 0.7106708584770881, 0.7362008319650867, 0.7537007520026157], [0.7335585418807049, 0.7108463552116852, 0.6651001392458966, 0.6960595820494732, 0.7527866102824987, 0.7102683391545833, 0.7351240198949736, 0.7531520402309936], [0.7199177408741897, 0.6941340088353594, 0.6535995614102204, 0.6737719839301459, 0.738009157297882, 0.6939917702618239, 0.7206734136433673, 0.7389898339220827], [0.7266851412612425, 0.6882018708848394, 0.6523083325293876, 0.6690672865185429, 0.7461257311136802, 0.6883235869028717, 0.727554541390045, 0.748253272214772]]","[0.0020860180192713465, 0.001395926708686327, 0.001933327067225118, 0.003228430955893799, 0.002414596743705797]","[0.27166373507697356, 0.21585547586131068, 0.2446497549258286, 0.2696837371268655, 0.24061728590923478]"
2,"[0.09001470764926083, 0.0898304028399616, 0.07931943032288018, 0.08192826787913202, 0.07971234308714119]","[0.30086881806981, 0.4422947491172065, 0.4345732072430359, 0.4257079603038632, 0.3931270522848517]","[0.16563475359256496, 0.16326280745881377, 0.16590807203657668, 0.16580800208393745, 0.16798466444771756]","[0.054505324522673544, 0.13959494257075233, 0.11810065978822423, 0.1060955870488128, 0.10885135360719358]","[0.06362017045896483, 0.05671923284898772, 0.06221860119659376, 0.06380644056974491, 0.06826311473990286]","[0.5764434631658962, 0.971082632879316, 0.9576113953442809, 1.0599395471650637, 1.0852366045971173]","[0.007402327408395987, 0.012792917532006572, 0.009918149243990242, 0.007113909854720593, 0.010604270619682998]","[0, 0, 0, 0, 0]","[0.004616500729438442, 0.004673953976372763, 0.005522525742847468, 0.004230849463943853, 0.006212105236049557]","[0.05258468284916751, 0.13191383610238963, 0.11515820262919327, 0.1037916496542657, 0.10059609206760206]","[0.16486991317711452, 0.1622254804971778, 0.1635176947118021, 0.16736361599152685, 0.16884457283615423]","[0.1791922380783626, 0.2182806633470252, 0.22053903759974217, 0.22483275466565142, 0.21495852069012]","[0.0014240506482559184, 0.0015900153822701974, 0.002141070489276068, 0.001796002684038626, 0.0022778860912020986]","[0.04474204462307932, 0.06674927750445965, 0.061461642137072, 0.053498697193721176, 0.06683153805733114]",[],[],"[0.001572003981875076, 0.0010762718999487038, 0.0012844425870503333, 0.0012492458941257387, 0.0008228068455648061]","[0.16311812644579826, 0.1774082218980395, 0.21284763236291532, 0.22071070002291307, 0.19938483036756208]","[[0.7681259946015058, 0.8035062991761922, 0.6217174984731932, 0.7854059179654115, 0.7750016238845292, 0.802656799491091, 0.7727110803306131, 0.7739431147843927], [0.7758512153110955, 0.8028559781127909, 0.6450914889130553, 0.7876184777277864, 0.7855747998568968, 0.8011908188867803, 0.7897473748616946, 0.7845746322318652], [0.7764628024563207, 0.8012828920578994, 0.6300763155012564, 0.7810654993719081, 0.7815918875852106, 0.7998972320647191, 0.7807222695440506, 0.780122097707431], [0.7651404405437761, 0.796894131654623, 0.6240011370846139, 0.780297390002366, 0.7709487387895346, 0.7957538982815426, 0.7719006204526915, 0.7702699016292327], [0.7636343401458875, 0.7951495035352978, 0.6184610306685239, 0.7740984722150522, 0.7743830018390696, 0.7948346507531356, 0.7760387309508665, 0.7745548087360595]]","[0.0027783324614877635, 0.002309479158165901, 0.002500600569720094, 0.0032365962597132427, 0.0021195614139080453]","[0.140700158453947, 0.1384264422141829, 0.15996590186624407, 0.17527517996875575, 0.16056438115152627]"
3,"[0.14692096380334527, 0.1463888936312123, 0.14761653923641657, 0.14983953712796694, 0.1497603795577822]","[0.01612560737323632, 0.02642576836684067, 0.03464632579405886, 0.022025497327123077, 0.0072072645667864725]","[0.14645201445144176, 0.14566416981722158, 0.14662137315911514, 0.1493921908008306, 0.1497603795577822]","[0.005641802515171547, 0.01175665775907362, 0.00957137150883354, 0.014096078549927464, 0.0072072645667864725]","[0.025254663795397904, 0.026341918472028655, 0.027412186491701872, 0.027888459937564666, 0.031044962993074642]","[0.1053874750496755, 0.21495574036885298, 0.2957169961059967, 0.1463190085726608, 0.035561919882863884]","[0.000815467634306062, 0.00023477293815818773, 0.0004662427566458926, 0.0006700691689056119, 0.0006350922425992784]","[0, 0, 0, 0, 0]","[0.0006873297100252249, 0.0001888384994381947, 0.0004123779992176569, 0.0006530177627280066, 0.0006350922425992784]","[0.0165618456941065, 0.02421930408251639, 0.03285868811015198, 0.02707362152227046, 0.009755342504533386]","[0.14633186291073588, 0.14557050813705782, 0.1475942544813884, 0.1485433187348131, 0.1508429964996738]","[0.014138855652728325, 0.02407948843954792, 0.026841282583524355, 0.018338325490314042, 0.008062148078670733]","[0.0018398905091176778, 0.0022225418734386922, 0.002601082644797394, 0.002950036826708088, 0.002369272445045224]","[0.010359322785988813, 0.012342180140701618, 0.023567593956403045, 0.015926788624406944, 0.00785502231467716]",[],[],"[0.0014282925897896109, 0.0019527989933766545, 0.0025979881274216243, 0.002185018151775741, 0.0020817368403742618]","[0.020959647495603955, 0.030237569444813716, 0.0501045738533619, 0.02057240722364651, 0.008402030027783404]","[[0.8291531154132129, 0.8297569664646296, 0.7339076745597377, 0.7890383247708043, 0.8302816151953769, 0.8292349982911077, 0.829704095805544, 0.8295816935653919], [0.8276294029705762, 0.8292977755032898, 0.7349419709386765, 0.788905296003298, 0.8268661463775224, 0.8284412441686627, 0.8230453173977013, 0.8258069694105048], [0.8235052867178096, 0.8246932592186297, 0.7268144053656301, 0.7875720118260721, 0.8226406644428117, 0.8237897054404631, 0.8189576319122448, 0.8206381455716008], [0.8242622045316235, 0.8253210115815481, 0.7265826781756266, 0.7806926328452659, 0.8255479870894988, 0.8246590070402724, 0.8231478527816785, 0.8244938443229931], [0.8241906213289562, 0.8241906213289562, 0.7222290385658013, 0.7848466521247877, 0.8203874228007724, 0.8230743144834733, 0.8186347676192003, 0.8191921910670225]]","[0.0014560076566001447, 0.0022912124105550352, 0.002064919746651458, 0.0025769231776347702, 0.002487407333959951]","[0.01917375140009361, 0.025383141434799857, 0.04167861180460469, 0.017989668814632258, 0.008485767509644276]"
