,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,"[0.12125829773628137, 0.1228971597962355, 0.12125459984093467, 0.12120826130602085, 0.12026186961093123]","[0.4634368891056106, 0.48748510729654365, 0.5256141107763789, 0.6602916156419419, 0.4839580718563721]","[0.11300829277597331, 0.11452990316151655, 0.11379782506601348, 0.11364948540613104, 0.11413983886881524]","[0.16959049978432722, 0.21409564812019286, 0.22831065273081846, 0.28909623768539106, 0.27259727260827327]","[0.012272318673012783, 0.013075446443538745, 0.011835251909750924, 0.012165262141146554, 0.011890822995264097]","[2.55598204057739, 2.644133375249313, 2.9079553361177197, 4.041534248284292, 2.6605117803511074]","[0.00022604251286990253, 0.00032495509610425377, 0.00013884327103504633, 0.00015894170930476193, 0.00020793442865296076]","[0, 0, 0, 0, 0]","[0.00018774011513736003, 0.0003128427366986386, 0.00012667918560763813, 0.0004057124445963647, 0.00040700843003913434]","[0.17205252562233533, 0.20476468601850104, 0.25141964216629104, 0.3219176838112978, 0.30851685502026227]","[0.11936933108984893, 0.12095990368053872, 0.1186921769274211, 0.11958011695635168, 0.11810417354374268]","[0.4570685457232989, 0.47460238710317953, 0.5023313651390977, 0.6482143650723006, 0.4804077709293125]","[0.0011192003290198284, 0.001703657910521229, 0.001234861123879947, 0.0010599942045843582, 0.0009102393360512872]","[0.14276224119573805, 0.18753756024340384, 0.19167530177061617, 0.24728919108356245, 0.23969940637409634]",[],[],"[0.0011524150933745984, 0.001210547023017332, 0.001433133484752952, 0.0008902323970552817, 0.0016510335371264686]","[0.4603197083568387, 0.47689032033568046, 0.4860186103055397, 0.6070474781398235, 0.4585090967432459]","[[0.857100274087411, 0.8729411874944084, 0.7797169641385822, 0.8603213575520157, 0.8607723131225054, 0.8725533207049148, 0.8570427333602006, 0.8603895425908864], [0.8578186561039524, 0.873454881113251, 0.7777113187840193, 0.8611057418943876, 0.8617216403565808, 0.8734441989124833, 0.8573890861310367, 0.8612994855661779], [0.8596041144888873, 0.8735046707301763, 0.7817689912297775, 0.861279175504607, 0.8645987413319869, 0.8733763780473025, 0.8594215543851997, 0.8638657629223148], [0.8575013297521584, 0.8718106494372824, 0.7808494526277189, 0.85986816796031, 0.860854610339266, 0.8709230275031233, 0.85695501154973, 0.8604326851729637], [0.8603440043390524, 0.8737407236224426, 0.7824325534324164, 0.8617225216582357, 0.8648624529245252, 0.8733969267551964, 0.8599766680965897, 0.8645839428081195]]","[0.001104832513835934, 0.0017861427972530916, 0.001142430623953248, 0.001442628915828121, 0.001328976489915428]","[0.4540518064156899, 0.47280736169451665, 0.4912865151537997, 0.6292952249140619, 0.4712022674355687]"
1,"[0.21855552468952094, 0.21640487697948527, 0.2171320981226613, 0.21547868702877748, 0.21352465248963737]","[1.5746728879887772, 13.55464638511754, 9.68006397929359, 6.985858128305021, 7.180921533799402]","[0.18417769278937934, 0.1817036887696974, 0.1830225929734674, 0.180944962231224, 0.18422230255485272]","[0.6318230277059577, 4.64095989547982, 2.170544392974159, 3.2987517213317266, 1.8049004867255682]","[0.005616527888597167, 0.005015122128458771, 0.004623285920768293, 0.004751158817496161, 0.0039862682412325524]","[1.5927366549462987, 13.492384671489981, 9.726824380796478, 7.02043794336171, 7.218231707640025]","[0.003304367559151289, 0.0030010457550150465, 0.002633318257107349, 0.0029117722054382085, 0.0036243679942397065]","[0, 0, 0, 0, 0]","[0.004217903836438391, 0.004098369043823182, 0.0026507434557801164, 0.0048086355034148405, 0.004066049849887996]","[0.6820274722911337, 3.954641744411358, 2.659925574687924, 3.2911682659672334, 2.1159430445140854]","[0.12845769874302748, 0.12829350667791384, 0.13262445463737818, 0.13250097877945752, 0.12458575515031571]","[0.2798051972081844, 0.9124710721682934, 0.8131895409713843, 0.6603040669458439, 0.6963810066240782]","[0.0012247626100434048, 0.0008323307212746258, 0.0012849087927523156, 0.0008193535650119208, 0.0007958399873835867]","[0.8255449124906501, 3.6296071523157862, 2.696723021231298, 2.72902300383653, 2.0292687749617344]",[],[],"[0.0099933153279002, 0.005342917645613567, 0.004111313056861729, 0.005165677672029488, 0.004892138970298241]","[0.4436628628250586, 2.644150294111726, 2.1391072984386637, 1.6875504447814014, 1.7204341899828015]","[[0.82372721253245, 0.7886542914525844, 0.7399312063016782, 0.7618027547785797, 0.8473611897499544, 0.7893455391962365, 0.8248019943428104, 0.846945935092343], [0.8276039608588258, 0.7731994400502422, 0.7421861237742083, 0.7632358703313133, 0.8501797393246585, 0.7760232689782853, 0.8285356033052139, 0.8500373822802496], [0.8299218278051679, 0.7800926560976086, 0.7437427689373374, 0.7645927358157315, 0.854131974102291, 0.7820575695691978, 0.8303575485218786, 0.8541106755741321], [0.8260506117365958, 0.7815601673510136, 0.7432280999513136, 0.7602586099232733, 0.8516394005462902, 0.7831729168293757, 0.8272985180484527, 0.8520628076578145], [0.8276805233104015, 0.7885446764555347, 0.7480503410819324, 0.770714467206935, 0.8528888673384879, 0.7880682413083975, 0.8283679363203243, 0.8530160522544853]]","[0.007608045129883527, 0.004595489419845392, 0.0036723297572814864, 0.005239505877949878, 0.003704780613550141]","[0.21038645977517892, 0.7758153744395466, 0.6523093401723535, 0.49373963900704243, 0.5310260278402628]"
2,"[0.05004989776880693, 0.052276545159621934, 0.05296839454620234, 0.050479727054709524, 0.04715437003020799]","[3.1909260026856345, 3.340677754183405, 3.2559172101333043, 3.0611440429453514, 3.1950172355135202]","[0.11729650767930468, 0.11899672379432419, 0.11922823978432581, 0.11932005487923472, 0.11935615526817332]","[1.193096918393869, 1.1937370112068286, 1.0343600011941858, 1.0040760895024268, 1.0582054298209302]","[0.0018907990792220541, 0.0016600682058719766, 0.0018627968241834059, 0.0024778612077989036, 0.0011710296623452798]","[14.61590877801729, 13.818386899342826, 15.057229503792646, 14.668514087336092, 14.894072813980832]","[0.015318747410074711, 0.018262441194695736, 0.01828130825379393, 0.01640148481279439, 0.01771262279122452]","[0, 0, 0, 0, 0]","[0.01192548031934686, 0.01299033431755508, 0.013457202053581604, 0.01333608057599319, 0.011708372110140145]","[0.9210664884222897, 0.9525155576171824, 0.8732204753532362, 0.7709031003511827, 0.8827909013726681]","[0.11427503154195602, 0.11572266829626897, 0.11507478020664341, 0.11661248049114081, 0.11425272593728511]","[0.7286818178029042, 0.6053643660753194, 0.7297198352139266, 0.6617526927187913, 0.6536688639464452]","[0.0009867559274453225, 0.0013362588388834684, 0.001196584850583973, 0.0010362515062432036, 0.0010019932600702222]","[0.48534284112166415, 0.5817816712286067, 0.6452177389533617, 0.5516643498835083, 1.0228873317333926]",[],[],"[0.000502932935751847, 0.0010002472569702885, 0.0004100778187713609, 0.0002987887090673045, 0.0005331682226062264]","[0.4887578030444081, 0.41971664709467355, 0.518439200380418, 0.5613757640086319, 0.698826205549514]","[[0.8733504106766097, 0.8757201976961319, 0.7487329812885379, 0.8657851649541659, 0.8725956991613557, 0.8758463662222052, 0.8753917285150419, 0.8720677530496925], [0.8770262833471286, 0.8780307807524745, 0.7503835470394054, 0.8673429858374262, 0.875000334383611, 0.8777983253996453, 0.8789203360508298, 0.8743413546599464], [0.8801442135359892, 0.8800803179515128, 0.753299310990355, 0.8683217005597907, 0.8753735555811705, 0.8796749862675548, 0.8816227443485163, 0.8749018071886988], [0.8754712529329074, 0.8781806735023558, 0.7507290741269814, 0.8666845376609675, 0.871576935832287, 0.8775958202060321, 0.8747085481374529, 0.8705114849896254], [0.8777850051541292, 0.8797628412916857, 0.7512208148005182, 0.8681145373407186, 0.8764800382167405, 0.8786204180323758, 0.8795926439280759, 0.8763011389650948]]","[0.001035383351356819, 0.001274488950710683, 0.001102515906562873, 0.0009302680454837794, 0.0011588746799931259]","[0.5899389265644116, 0.49365214964696486, 0.6121610900236965, 0.554001562445646, 0.5831817589358069]"
3,"[0.09827684207288172, 0.09848859858073787, 0.09674586809487798, 0.09655118499711053, 0.09502717141769736]","[0.03915856992186086, 0.025564095879753213, 0.050119118990062814, 0.03152287059377307, 0.023295083486555884]","[0.09758372194333848, 0.09809236874720953, 0.09644144755601952, 0.09617492488913157, 0.0948354238919695]","[0.014311855930023536, 0.0059531246170925435, 0.04143225479748525, 0.009417161757705789, 0.00947838775777882]","[0.009903288086841742, 0.009121605742644224, 0.008335197495541248, 0.012227082640923766, 0.011900180723142997]","[0.431150763076827, 0.43375614180098065, 1.8011569571233013, 0.381422274303621, 0.442138081366405]","[0.0006486738006847699, 8.352565373367877e-05, 4.501840175804083e-05, 4.787849251713448e-05, 2.8482528310545823e-05]","[0, 0, 0, 0, 0]","[0.0004541728625000417, 6.417229944515501e-05, 3.4926792519847685e-05, 4.863126175234273e-05, 4.929432315956224e-05]","[0.05703744887944749, 0.04417437722010346, 0.14249174118711241, 0.047829966907435635, 0.05206656660831868]","[0.09718198505407706, 0.09726788115451487, 0.09676232945007392, 0.0965805026830097, 0.09546400807642888]","[0.022371536170374184, 0.015239455075084516, 0.07316427842893462, 0.028873823220204424, 0.021118201184787765]","[0.001217797420099786, 0.0015197024918294825, 0.0017697399999755921, 0.0009309786097190478, 0.0011440882530125603]","[0.009241086985400725, 0.007139158884925943, 0.03745514948108447, 0.009394888219636152, 0.0120711692602732]",[],[],"[0.001138694303767793, 0.0013552042593411016, 0.0009307693802955037, 0.0013869437045569216, 0.0009385817815732584]","[0.04822343163648763, 0.015559157685916267, 0.07578539184312169, 0.03190290030227789, 0.023232299111136223]","[[0.897684956187408, 0.8984254496853462, 0.8252136752947667, 0.8625204244506923, 0.8983186451320133, 0.8978944042537343, 0.8965943841099618, 0.897809168437187], [0.8994437853974423, 0.8997230318623478, 0.8243475479866691, 0.8652363555309706, 0.8999867837137033, 0.8991979321066792, 0.8989225536467895, 0.8995429165820615], [0.9013746397187242, 0.9016400083553124, 0.8261006983567802, 0.8674317257019939, 0.901329331776345, 0.90134812725304, 0.9004496763581566, 0.9008487278227382], [0.8998203810101045, 0.9003719899377004, 0.8250779496409532, 0.8656334137948262, 0.9005023288272168, 0.8997159083900863, 0.8991590855454596, 0.8997890975079201], [0.9033579067844174, 0.9037151902226851, 0.8288509859867162, 0.8696201446955003, 0.9029598247745174, 0.9032762373513246, 0.9017097755157769, 0.9023305056775573]]","[0.0015067972914759235, 0.0015940505999208537, 0.0010812385660282963, 0.0015819557042473828, 0.0010372221670723579]","[0.019819626323091078, 0.014155043384784202, 0.07082442392836974, 0.02695500860814158, 0.022983162191129947]"
